Control,length_mu
sd27_10x8a4_roothairs.csv,190.2151207
sd27_10x8a5_roothairs.csv,268.230747
sd27_10x8a6_roothairs.csv,268.5813742
sd27_10x9a2_roothairs.csv,179.9161667
sd27_10x9a3_roothairs.csv,167.8056049
sd27_10x9a4_roothairs.csv,183.7966782
sd27_10xs11_roothairs.csv,224.9247957
sd27_10xs21_roothairs.csv,118.6483253
sd27_10xs22_roothairs.csv,151.5870911
sd27_10xs31_roothairs.csv,256.3601154
sd27_10xs41_roothairs.csv,213.0275236
sd27_10xs42_roothairs.csv,174.9550546
sd27_10xs51_roothairs.csv,213.6264884
sd27_10xs52_roothairs.csv,245.8947128
sd27_10xs53_roothairs.csv,179.3771015
sd27_10xs54_roothairs.csv,211.8528326
sd27_10xs7a1_roothairs.csv,226.5970109
sd27_10xs7a2_roothairs.csv,201.6050828
sd27_10xs7a3_roothairs.csv,287.1006892
sd27_10xs7a4_roothairs.csv,179.930122
sd27_10xs7a5_roothairs.csv,192.4935599
sd28_10x11_roothairs.csv,34.81205061
sd28_10xs11_roothairs.csv,64.08988027
sd28_10xs21_roothairs.csv,77.25868539
sd29_10x10a1_roothairs.csv,128.7583709
sd29_10x10a2_roothairs.csv,205.2631898
sd29_10x10a3_roothairs.csv,141.7280794
sd29_10x10a4_roothairs.csv,186.8092346
sd29_10x11a1_roothairs.csv,154.5214724
